replicate,Rep1,Rep1,Rep1,Rep1,Rep2,Rep2,Rep2,Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2
measurement,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter
gene,,,,,,,,,,,,
A1BG,P2,0.417071847,-0.009601318,10,P1,0.353506896,-0.017201197,9,P2,0.360098484,0.00026206,10
A1CF,P1P2,0.081252779,-0.039459366,10,P1P2,0.788021297,0.011811316,10,P1P2,0.145155679,-0.009389874,10
A2M,P1P2,0.189974243,-0.046756603,9,P1P2,0.689965062,0.011609213,9,P1P2,0.109318925,-0.023705273,9
A2ML1,P1P2,0.419748825,-0.006331397,10,P1P2,0.853477706,-0.008933449,10,P1P2,0.436219805,-0.003733993,10
A3GALT2,ENST00000442999.3,0.390378502,0.010935169,10,ENST00000442999.3,0.853591774,-0.020843269,10,ENST00000442999.3,0.881353778,-0.007984255,10
A4GALT,P1P2,0.023250414,0.053328665,10,P1P2,0.436143331,-0.005170471,10,P1P2,0.274598443,0.032009465,10
A4GNT,P1P2,0.341084581,0.041141427,10,P1P2,0.493114978,-0.02546563,10,P1P2,0.682306289,0.010304596,10
AAAS,P1P2,0.312117143,0.012575255,10,P1P2,0.107983423,-0.027894584,10,P1P2,0.566850705,-0.002647461,10
AACS,P1P2,0.059548594,-0.042454042,10,P1P2,0.362726721,-0.029604228,10,P1P2,0.041944799,-0.039240792,10
AADAC,P1P2,0.733138051,0.001504913,10,P1P2,0.017322379,-0.026519942,10,P1P2,0.117196566,-0.00719219,10
AADACL2,P1P2,0.371406895,0.000340918,10,P1P2,0.654755603,0.004570829,10,P1P2,0.660222841,-0.001113165,10
AADACL3,P1P2,0.16076338,0.082999356,10,P1P2,0.75974357,-0.022497727,10,P1P2,0.120084664,0.029892018,10
AADACL4,P1P2,0.163559495,-0.014667269,10,P1P2,0.496976159,0.026721383,10,P1P2,0.693022431,-0.007293845,10
AADAT,P1P2,0.438874749,0.012583518,9,P1P2,0.118460211,-0.014814486,9,P1P2,0.13331071,-0.007440137,9
AAED1,P1P2,0.628118991,-0.007592701,10,P1P2,0.396065427,-0.013031155,10,P1P2,0.42464081,-0.011985954,10
AAGAB,P1P2,0.138320492,-0.005975326,10,P1P2,0.376222096,-0.03954753,10,P1P2,0.188108423,-0.015764988,10
AAK1,P1P2,0.075941407,-0.059489499,10,P1P2,0.982945168,-0.010979578,10,P1P2,0.236882847,-0.033738402,10
AAMDC,P1P2,0.250146683,0.027309768,10,P1P2,0.677163798,-0.01130485,10,P1P2,0.559968247,0.011183706,10
AAMP,P1P2,0.223143,-0.1349911,10,P1P2,0.979349304,-0.103477136,10,P1P2,0.365627886,-0.106020026,10
AANAT,P1P2,0.723849929,-0.000432851,10,P1P2,0.36066011,-0.023007997,10,P1P2,0.649499184,-0.008827089,10
AAR2,P1P2,0.304108492,-0.099850257,10,P1P2,0.075396271,-0.11243184,10,P1P2,0.123169758,-0.101073233,10
AARD,P1P2,0.546946014,0.014956077,10,P1P2,0.208592979,-0.038781426,10,P1P2,0.918003955,-0.014823743,10
AARS,P1P2,1.59E-07,-0.437840258,10,P1P2,8.72E-08,-0.483443788,10,P1P2,7.49E-08,-0.449801476,10
AARS2,P1P2,9.68E-05,-0.150671097,10,P1P2,0.000847934,-0.178624378,10,P1P2,0.000143306,-0.164647738,10
AARSD1,P2,0.860176117,0.000646696,10,P2,0.869132516,0.002747885,10,P1,0.467733443,0.007882746,10
AASDH,P1P2,0.583931955,0.005013877,10,P1P2,0.788245123,-0.004360662,10,P1P2,0.696034104,-0.004906693,10
AASDHPPT,P1P2,0.002289757,-0.073634759,10,P1P2,0.358905504,-0.023304812,10,P1P2,0.043646745,-0.061442005,10
AASS,P1P2,0.311421317,0.007414445,10,P1P2,0.533585824,-0.001759216,10,P1P2,0.226206264,0.004602759,10
AATF,P1P2,0.000644846,-0.165851275,10,P1P2,0.000614643,-0.192590357,10,P1P2,0.000370726,-0.179220816,10
AATK,ENST00000326724.4,0.366909358,0.010730539,10,ENST00000326724.4,0.346848481,-0.009159485,10,ENST00000326724.4,0.934199382,-0.004025176,10
ABAT,P2,0.698761398,-0.004324644,8,P1,0.120995215,-0.007323866,10,P1,0.170573444,0.000342672,10
ABCA1,P1P2,0.720907997,-0.13979947,10,P1P2,0.963232115,-0.156271821,10,P1P2,0.531512467,-0.1214832,10
ABCA10,P1P2,0.595774767,-0.006082311,10,P1P2,0.551902411,0.003619923,10,P1P2,0.982225574,-0.006101517,10
ABCA12,P1P2,0.465712206,0.000435559,10,P1P2,0.018869898,-0.023008062,10,P1P2,0.039011679,-0.003662551,10
ABCA13,P1P2,0.609354598,0.018075038,10,P1P2,0.531103449,-0.004216389,10,P1P2,0.641347316,0.00660247,10
ABCA2,P1P2,0.659718235,0.026305047,10,P1P2,0.545408291,-0.001094559,10,P1P2,0.793129526,0.013115924,10
ABCA3,P1P2,0.741585905,-0.007419287,10,P1P2,0.97691363,-0.042519628,10,P1P2,0.791109632,-0.028504678,10
ABCA4,P1P2,0.953950205,-0.007315504,10,P1P2,0.470110392,0.013507144,10,P1P2,0.752349195,0.009903904,10
ABCA5,P1P2,0.115284882,-0.038314146,10,P1P2,0.16991694,-0.045129657,10,P1P2,0.148726681,-0.052795647,10
ABCA6,P1P2,0.167240105,-0.020891558,10,P1P2,0.912113152,-0.00224569,10,P1P2,0.380946771,-0.013991634,10
ABCA7,P1,0.061623725,-0.033767848,10,P1,0.571906306,-0.002880427,10,P1,0.144754074,-0.029010191,10
ABCA8,P1P2,0.27639018,-0.01156555,10,P1P2,0.863527124,0.002913964,10,P1P2,0.360098484,-0.002336801,10
ABCA9,P1P2,0.94584214,0.022487385,10,P1P2,0.242743795,-0.004959697,10,P1P2,0.410919619,0.01449435,10
ABCB1,ENST00000265724.3,0.288504033,0.014518755,10,ENST00000265724.3,0.244979582,-0.014889842,10,ENST00000265724.3,0.323303172,-0.02614361,10
ABCB10,P1P2,0.821960634,-0.19645391,10,P1P2,0.032272938,-0.181627942,10,P1P2,0.299913618,-0.182861538,10
ABCB11,P1P2,0.859490537,-0.001916447,10,P1P2,0.221392433,-0.010867187,10,P1P2,0.690874199,-0.004711328,10
ABCB4,P1P2,0.527946712,-0.004525216,10,P1P2,0.964970774,0.023860924,10,P1P2,0.541494132,0.00691842,10
ABCB5,P1P2,0.903443752,-0.003663764,10,P1P2,0.92249947,0.006996483,10,P1P2,0.879515772,0.002512696,10
ABCB6,P1P2,0.160026768,0.016923134,10,P1P2,0.153914601,-0.009800677,10,P1P2,0.426332252,-0.015459097,10
ABCB7,P1P2,1.39E-05,-0.1600136,10,P1P2,5.88E-08,-0.209389407,10,P1P2,4.27E-06,-0.183125093,10
ABCB8,P1P2,0.37562486,0.062364242,10,P1P2,0.723920252,-0.007457451,10,P1P2,0.735826521,0.032920318,10
ABCB9,P1,0.107444408,-0.017513886,10,P1,0.416027646,-0.017020133,10,P2,0.084303953,-0.026824668,10
ABCC1,P1P2,0.607929385,0.001718165,10,P1P2,0.95570005,0.007031292,10,P1P2,0.81724662,0.004284442,10
ABCC10,P1P2,0.846713019,-0.005117014,10,P1P2,0.40873087,0.001651411,10,P1P2,0.810014757,-0.007680173,10
ABCC11,P2,0.058804982,-0.034463784,10,P1,0.151328199,0.001473162,10,P1,0.154040091,0.01305457,10
ABCC12,ENST00000311303.3,0.948274009,-0.012404584,10,ENST00000311303.3,0.182654648,-0.034219729,10,ENST00000311303.3,0.354621882,-0.015230574,10
ABCC2,P1P2,0.981037061,0.008820472,9,P1P2,0.462370276,-0.006806303,9,P1P2,0.695804815,0.006122502,9
ABCC3,P1P2,0.468474071,-0.0795752,10,P1P2,0.890697576,-0.156013325,10,P1P2,0.59155517,-0.121328507,10
ABCC4,P1P2,0.845118587,0.011573265,10,P1P2,0.289161024,0.027359797,10,P1P2,0.469699336,0.011601824,10
ABCC5,P1P2,0.792671503,0.026388532,10,P1P2,0.246992237,-0.008572366,10,P1P2,0.40072205,0.000153517,10
ABCC6,ENST00000205557.7,0.40547899,0.000523698,10,ENST00000205557.7,0.057636347,-0.040766209,10,ENST00000205557.7,0.778350051,-0.02410123,10
ABCC8,P1P2,0.578350257,-0.000905723,10,P1P2,0.218331311,-0.072442827,10,P1P2,0.334410444,-0.036038156,10
ABCC9,P1P2,0.689041817,0.003087723,10,P1P2,0.815903609,-0.018674956,10,P1P2,0.636144332,-0.012273259,10
ABCD1,P1P2,0.120478773,-0.02209823,10,P1P2,0.581736732,0.002954962,10,P1P2,0.438970488,-0.015462635,10
ABCD2,P1P2,0.138477732,-0.009062594,9,P1P2,0.33852183,-0.013437198,9,P1P2,0.065166444,-0.015592166,9
